"time_on_site","age","area_income","daily_internet_usage","gender","country","timestamp","clicked","gender_category","internet_sqrt","website_sqrt","income_sqrd","age_log","prob","prob1","prob_hit","pred"
68.95,35,61833.9,256.09,0,"Tunisia","27-3-2016 00:53",0,"Female",16.0028122528511,8.30361367116751,3823.43118921,3.55534806148941,0.0147566726330548,0.399787159353579,0.0147566726330548,0
80.23,31,68441.85,193.77,1,"Nauru","4-4-2016 1:39",0,"Male",13.9201293097442,8.95712007288057,4684.2868314225,3.43398720448515,0.00751546632654927,0.0126807626835417,0.00751546632654927,0
69.47,26,59785.94,236.5,0,"San Marino","13-3-2016 20:35",0,"Female",15.3785564992297,8.33486652562595,3574.3586216836,3.25809653802148,0.00912417988562144,0.122816512410759,0.00912417988562144,0
74.15,29,54806.18,245.89,1,"Italy","10-1-2016 2:31",0,"Male",15.6808800773426,8.61103942622492,3003.7173661924,3.36729582998647,0.00581486357524471,0.155942268524621,0.00581486357524471,0
68.37,35,73889.99,225.58,0,"Iceland","3-6-2016 3:36",0,"Female",15.0193208901068,8.26861536171565,5459.7306222001,3.55534806148941,0.0119954848748407,0.112666464698203,0.0119954848748407,0
59.99,23,59761.56,226.74,1,"Norway","19-5-2016 14:30",0,"Male",15.0578882981645,7.74532116829251,3571.4440536336,3.13549421592915,0.0372932481072219,0.356799085765078,0.0372932481072219,0
88.91,33,53852.85,208.36,0,"Myanmar","28-1-2016 20:59",0,"Female",14.4346804606129,9.42920993509,2900.1294531225,3.49650756146648,0.0127670253975349,0.0236806051295079,0.0127670253975349,0
66,48,24593.33,131.76,1,"Australia","7-3-2016 1:40",1,"Male",11.4786758818254,8.12403840463596,604.8318804889,3.87120101090789,0.999964659312728,0.996164484401618,0.999964659312728,1
74.53,30,68862,221.51,1,"Grenada","18-4-2016 09:33",0,"Male",14.8832120189158,8.63307592923866,4741.975044,3.40119738166216,0.00301407642310135,0.0303989529203688,0.00301407642310135,0
69.88,20,55642.32,183.82,1,"Ghana","11-7-2016 1:42",0,"Male",13.5580234547666,8.35942581760255,3096.0677749824,2.99573227355399,0.0537852079519888,0.0451902072593691,0.0537852079519888,0
47.64,49,45632.51,122.02,0,"Qatar","16-3-2016 20:19",1,"Female",11.0462663375459,6.90217357069496,2082.3259689001,3.89182029811063,0.999998945261072,0.999772494573167,0.999998945261072,1
83.07,37,62491.01,230.87,1,"Burundi","8-5-2016 8:10",0,"Male",15.1944068656858,9.11427451857799,3905.1263308201,3.61091791264422,0.00360068853600262,0.045734002525368,0.00360068853600262,0
69.57,48,51636.92,113.12,1,"Egypt","3-6-2016 1:14",1,"Male",10.6357886402467,8.34086326467471,2666.3715070864,3.87120101090789,0.999773292706364,0.927539462303859,0.999773292706364,1
